date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2022-09-24,78,73,98,99,74,73,94,54,26040,32160,6120,8370,9060,8610,17,81,780,15120,2022-09-24T00:18:04-04:00,2022-09-24T09:14:04-04:00,58.51,50.0,55,0.0,0.21,14.5,83,91,100,100,100,100,642,2838,12706,11846,26340,28620,14460,4320,60,12600,1.53125,0,71,80,59,83,59,100,76,69,83
2022-09-25,69,62,48,99,81,69,83,58,23070,27420,4350,3630,11070,8370,29,84,1260,13950,2022-09-25T00:29:00-04:00,2022-09-25T08:06:00-04:00,53.26,48.0,63,-0.02,0.15,14.5,87,58,43,100,100,100,917,3136,12909,14994,41820,28740,9720,3000,3120,0,1.71875,4,74,58,57,100,66,100,96,70,100
2022-09-26,76,76,81,100,83,71,70,48,26730,31560,4830,6090,11910,8730,23,85,240,15870,2022-09-26T00:18:01-04:00,2022-09-26T09:04:01-04:00,57.65,52.0,56,0.4,0.26,15,97,85,100,100,100,100,1386,3618,20250,24080,27780,31320,17640,6540,3000,120,1.96875,0,65,75,61,33,68,71,56,66,100
2022-09-27,78,73,69,98,93,71,89,63,25980,29040,3060,5280,12780,7920,27,89,660,14760,2022-09-27T00:06:21-04:00,2022-09-27T08:10:21-04:00,59.78,54.0,51,0.37,0.42,15.25,95,73,100,100,100,100,931,3187,14212,16061,33840,27660,18840,4440,1500,120,1.75,0,62,80,63,39,63,74,38,61,95
2022-09-28,77,82,68,99,79,69,81,53,28500,34320,5820,5220,14760,8520,28,83,510,17580,2022-09-27T23:40:01-04:00,2022-09-28T09:12:01-04:00,54.38,50.0,64,0.08,0.38,15,92,71,100,100,100,100,766,2976,14117,13579,34620,31560,12780,5520,720,1200,1.625,0,74,78,70,71,65,98,79,65,100
2022-09-29,69,66,51,100,90,70,64,50,24150,27300,3150,3870,11550,8730,26,88,150,13680,2022-09-29T00:50:32-04:00,2022-09-29T08:25:32-04:00,55.97,52.0,56,-0.01,0.23,16,93,94,100,100,100,100,716,2893,11425,12301,24300,28140,12300,3420,1680,16560,1.5625,0,70,58,69,88,68,100,59,64,99
2022-09-30,71,70,65,100,83,68,72,41,25290,29880,4590,4980,10770,9540,21,85,300,14400,2022-09-30T00:56:29-04:00,2022-09-30T09:14:29-04:00,59.93,54.0,51,0.28,0.25,16.375,86,64,100,100,100,100,1050,3316,16634,17792,38940,24420,15420,5100,2520,0,1.8125,0,68,63,70,84,74,81,40,61,97
2022-10-01,59,58,68,51,58,70,83,22,22080,29700,7620,5130,13530,3420,25,74,570,15930,2022-10-01T01:18:30-04:00,2022-10-01T09:33:30-04:00,57.35,50.0,58,0.03,0.26,16.25,83,65,100,100,100,100,395,2626,7540,6646,36660,26640,15600,1680,120,5700,1.4375,0,64,33,65,44,72,100,81,63,100
2022-10-02,69,61,72,98,81,72,99,19,22980,27420,4440,5430,9840,7710,19,84,900,13590,2022-10-02T02:14:29-04:00,2022-10-02T09:51:29-04:00,69.31,59.0,39,0.49,0.41,16.875,95,68,95,100,100,100,219,2315,4191,3992,33660,40440,8700,900,0,2700,1.25,1,50,58,62,100,80,63,1,51,94
2022-10-03,83,89,70,99,86,79,75,66,30270,35100,4830,5340,16710,8220,18,86,1440,17910,2022-10-02T23:07:22-04:00,2022-10-03T08:52:22-04:00,54.0,48.0,76,0.58,0.59,15.625,94,71,95,95,100,100,1188,3415,15255,20513,33960,30480,12000,6120,2400,1440,1.84375,1,80,93,70,100,88,56,100,62,93
2022-10-04,75,69,58,100,93,81,67,66,24960,28080,3120,4410,9150,11400,18,89,180,13560,2022-10-04T00:21:01-04:00,2022-10-04T08:09:01-04:00,51.17,48.0,78,-0.35,0.34,14.875,94,71,100,95,100,100,1113,3384,15871,18732,34020,28320,16620,4620,2760,60,1.84375,0,77,72,69,50,83,93,100,73,100
2022-10-05,83,89,68,99,88,79,94,48,30210,34620,4410,5190,16350,8670,20,87,990,17160,2022-10-04T23:56:43-04:00,2022-10-05T09:33:43-04:00,53.41,49.0,65,0.19,0.21,15.375,95,81,100,95,100,100,795,3008,13075,13561,28980,31080,15660,3240,1740,5700,1.625,0,81,93,77,45,80,89,93,76,100
2022-10-06,77,73,60,100,99,88,72,52,25890,27540,1650,4590,5670,15630,13,94,300,13740,2022-10-06T00:44:54-04:00,2022-10-06T08:23:54-04:00,51.03,47.0,80,-0.37,0.01,15,91,83,78,95,100,100,831,3123,16397,15042,29280,28260,23640,4920,240,60,1.6875,2,83,77,78,77,81,93,100,85,87
2022-10-07,68,61,54,96,79,71,64,69,22950,27720,4770,4110,11970,6870,20,83,1650,14070,2022-10-07T00:06:33-04:00,2022-10-07T07:48:33-04:00,54.24,49.0,64,-0.02,0.03,15.375,None,None,None,None,None,None,370,2619,7171,6445,49560,20940,14220,1680,0,0,1.4375,3,78,55,74,100,81,100,91,86,68
2022-10-08,74,66,79,99,79,71,97,47,24120,29220,5100,5970,9480,8670,24,83,930,13830,2022-10-08T00:54:16-05:00,2022-10-08T09:01:16-05:00,64.34,56.0,46,0.14,0.12,16.875,95,73,100,95,100,99,306,2504,6020,5039,33540,34560,17160,1020,0,120,1.34375,0,60,70,72,None,None,93,21,78,30
2022-10-09,78,74,78,96,76,75,70,85,26340,32160,5820,5940,13440,6960,28,82,1530,15120,2022-10-08T23:17:19-05:00,2022-10-09T08:13:19-05:00,58.52,52.0,56,0.13,0.25,15.875,89,72,95,78,100,97,373,2567,7756,6871,34680,31560,15000,1320,0,3840,1.40625,1,78,80,73,100,92,94,61,74,78
2022-10-10,83,78,85,100,90,70,86,93,27360,31080,3720,6480,11520,9360,22,88,630,14850,2022-10-09T23:05:29-05:00,2022-10-10T07:43:29-05:00,56.81,50.0,55,-0.03,0.22,16.125,83,67,100,60,96,88,12,2084,240,169,6780,13260,840,0,0,65520,1.15625,0,85,93,75,100,96,100,83,72,96
2022-10-12,84,85,80,95,65,77,91,100,29190,38040,8850,6030,16980,6180,24,77,720,17280,2022-10-11T21:51:03-05:00,2022-10-12T08:25:03-05:00,59.32,54.0,60,0.98,0.56,16.125,None,None,None,None,None,None,94,2228,2169,1433,47580,32460,6300,60,0,0,1.21875,1,60,95,81,None,96,22,43,71,100
2022-10-13,80,67,97,95,76,86,67,100,24540,29760,5220,7860,10440,6240,25,82,210,14730,2022-10-12T22:50:52-05:00,2022-10-13T07:06:52-05:00,60.88,53.0,56,0.49,0.74,16.125,None,None,None,None,None,None,123,2242,2714,1885,40500,37260,8580,60,0,0,1.21875,0,66,84,78,None,None,64,54,70,54
2022-10-14,95,100,100,100,97,80,89,90,35790,38880,3090,11100,11760,12930,20,92,660,19410,2022-10-13T21:55:00-05:00,2022-10-14T08:43:00-05:00,56.93,50.0,52,0.47,0.74,16.25,None,None,None,None,None,None,162,2311,3384,2696,40200,35940,10080,180,0,0,1.25,2,81,100,95,None,None,66,84,65,100
2022-10-15,88,90,97,100,97,79,86,71,30390,32880,2490,7920,12060,10410,20,92,630,16620,2022-10-14T23:19:44-05:00,2022-10-15T08:27:44-05:00,58.63,52.0,47,0.01,0.45,16.25,None,None,None,None,None,None,53,2139,1080,885,13380,17400,2760,120,0,52740,1.1875,1,81,100,100,None,None,100,64,58,66
2022-10-17,76,61,59,99,90,78,94,89,22920,26160,3240,4500,9720,8700,26,88,1020,13350,2022-10-16T23:37:34-05:00,2022-10-17T06:53:34-05:00,55.59,50.0,56,-0.12,0.21,15.75,79,57,95,60,96,99,247,2429,5229,4419,41100,31380,13620,300,0,0,1.3125,1,78,74,93,None,None,100,84,55,54
2022-10-18,68,49,32,98,100,84,78,74,19830,20940,1110,2520,9420,7890,20,95,450,10530,2022-10-18T00:54:41-04:00,2022-10-18T06:43:41-04:00,59.57,52.0,48,0.17,0.18,15.75,85,60,78,78,96,98,475,2682,9905,8870,40680,28320,14580,2820,0,0,1.46875,2,62,54,77,100,74,91,64,49,1
2022-10-19,89,95,100,100,96,72,78,75,31830,34860,3030,8970,11880,10980,24,91,450,17130,2022-10-18T23:02:01-04:00,2022-10-19T08:43:01-04:00,55.39,50.0,56,0.14,0.26,15,94,73,100,95,96,98,530,2766,11685,9686,33660,31200,18480,2940,0,120,1.5,0,82,100,86,100,78,93,85,52,100
2022-10-20,80,81,57,100,98,79,78,61,27990,30180,2190,4380,12240,11370,25,93,450,15030,2022-10-20T00:05:48-04:00,2022-10-20T08:28:48-04:00,54.43,48.0,63,0.07,0.29,14.75,95,78,95,95,100,97,528,2731,10713,9339,31560,33720,14760,3600,180,2580,1.46875,1,82,84,87,100,83,99,100,58,74
2022-10-21,79,78,52,100,76,73,91,90,27360,33360,6000,3960,14490,8910,27,82,1080,16710,2022-10-20T22:40:58-04:00,2022-10-21T07:56:58-04:00,57.94,50.0,59,0.02,0.21,15.875,92,83,100,78,100,100,1307,3698,20679,22710,28320,19260,28860,9300,600,60,2.03125,0,77,82,87,100,87,100,85,62,22
2022-10-22,68,57,57,100,90,81,89,23,21840,24900,3060,4350,7830,9660,23,88,660,11820,2022-10-22T02:18:01-04:00,2022-10-22T09:13:01-04:00,61.92,56.0,50,0.15,0.22,15.375,88,61,100,78,96,99,397,2647,8052,7193,41940,27660,14880,1920,0,0,1.4375,0,62,54,78,84,98,92,25,59,40
2022-10-23,69,73,66,97,60,72,72,29,26070,34860,8790,5040,13770,7260,26,75,330,18450,2022-10-23T00:13:59-04:00,2022-10-23T09:54:59-04:00,54.87,49.0,70,0.39,0.35,15.75,79,75,100,43,71,98,312,2506,6344,5497,31800,35940,11040,1320,60,6240,1.34375,0,80,58,77,100,99,71,96,69,100
2022-10-24,80,84,63,100,83,82,72,68,29010,34080,5070,4770,15030,9210,24,85,300,16260,2022-10-23T23:31:24-04:00,2022-10-24T08:59:24-04:00,52.47,48.0,70,0.05,0.34,14.625,85,73,95,60,96,99,663,2886,11947,11693,34020,31080,16200,4320,300,480,1.5625,1,90,85,82,100,100,100,100,76,100
2022-10-25,75,73,40,100,81,70,89,81,26130,30960,4830,3090,11820,11220,23,84,690,15330,2022-10-24T23:21:34-04:00,2022-10-25T07:57:34-04:00,52.04,48.0,75,-0.2,0.15,14.625,75,68,95,25,96,97,80,2017,1705,1437,9120,14220,2820,480,0,300,1.28125,1,88,73,80,98,97,98,100,85,99
2022-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,93,100,100,78,100,99,23,2036,468,305,6240,13140,1080,120,0,65820,1.09375,0,,,,,,,,,
2022-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,72,82,100,25,40,98,1433,3716,13114,22736,30540,11760,11340,4020,4560,24180,2.03125,0,,,,,,,,,
2022-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,99,100,100,95,100,99,748,2940,10807,12593,6600,6000,11880,1980,1980,57960,1.625,0,,,,,,,,,
2022-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,100,95,100,100,1302,3678,22838,23250,19680,10560,30720,4080,2340,19020,2.03125,0,,,,,,,,,
2022-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,93,100,95,100,100,100,840,3131,13956,15023,32700,5940,18120,4500,1080,24060,1.75,1,,,,,,,,,
2022-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,75,100,100,43,71,51,4,2044,116,70,3660,19560,420,0,0,62760,1.125,0,,,,,,,,,
2022-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,157,2325,3370,2946,28740,14520,8340,60,0,34740,1.28125,1,,,,,,,,,
